Device Name,Device Type,File Name,Average Packet Length,Packet Standard Variance,Average IAT,IAT Standard Variance,Sequence Number Maximum,Sequence Number Minimum,Sequence Number Average
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,57.6,11.193748255164577,0.0230034,0.0430433048138732,210.0,40.0,139.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,61.8,9.011104260855047,0.0240194,0.0424844366009483,210.0,40.0,108.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,60.2,6.723094525588644,0.0050618,0.002188489821772,210.0,42.0,109.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,58.8,9.148770409186143,0.0051248,0.002122590210097,211.0,42.0,109.8
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,55.2,10.52140675005011,0.0042168,0.001969369239122,213.0,43.0,144.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,59.2,13.367871932360812,0.0037545999999999,0.0026109543848945,213.0,43.0,111.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,56.6,12.973048986263793,0.2137222,0.4714495313193131,213.0,43.0,113.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,54.0,11.874342087037917,0.2128827999999999,0.4719172770446108,213.0,46.0,115.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,54.0,11.874342087037917,0.2127518,0.4719900342196856,222.0,46.0,117.6
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,54.0,11.874342087037917,0.2129721999999999,0.4718676552474222,223.0,46.0,119.6
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,49.6,4.219004621945797,0.2136746,0.4714743637636091,226.0,53.0,155.6
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,51.6,7.402702209328699,0.0036788,0.002236389210312,226.0,54.0,156.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,51.8,7.463243262818116,0.0040742,0.0017515509413088,229.0,55.0,191.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,51.8,7.463243262818116,0.0042055999999999,0.0016531962375955,230.0,55.0,192.6
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,56.0,8.514693182963201,0.0038192,0.0019727336870444,230.0,55.0,159.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,54.6,9.813256340277675,0.0034641999999999,0.0021306643799528,230.0,55.0,160.0
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,51.0,9.246621004453464,0.0024116,0.0007300745167446,232.0,56.0,195.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,55.0,13.982131454109563,0.5489794,1.2224409965525127,232.0,56.0,161.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,60.8,14.788509052639483,0.5811294,1.206516927627748,232.0,56.0,128.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,58.0,14.882876066137216,0.5813216,1.2064016479445394,237.0,59.0,164.4
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,61.6,13.011533345459329,0.5823208,1.205803816033811,237.0,59.0,131.6
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,63.4,10.526157893552616,0.5824062,1.2057524390305832,240.0,59.0,133.2
Power Plug 1,Socket,Idle_Topology_B_idle1.pcapng,61.8,9.011104260855047,0.0367114,0.0713054048217945,240.0,64.0,134.8
